,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
2357,nodemailer/nodemailer,1,v,47,6,7,170,217,0 days 00:00:00.254605
2358,JaidedAI/EasyOCR,3, pre-v v,4,0,2,12,16,0 days 00:00:00.036762
2359,riot/riot,1,v,44,6,7,155,199,0 days 00:00:00.272961
2360,jina-ai/jina,2, v,25,14,0,280,305,0 days 00:00:00.474965
2361,gabime/spdlog,1,v,19,4,10,15,34,0 days 00:00:00.294321
2362,aosp-mirror/platform_frameworks_base,27,android-n-iot-release-polk-at gradle_ android-s-preview- android-n-iot-preview- android-wear-o-preview- studio- android-wear-n-preview- android-n-preview- platform-tools- android-o-iot-preview- android-q-preview- android-wear-p-preview- android-sdk-support_r android-p-preview- android-l-preview_r android-s-beta- android-sdk-adt_r android-o-mr1-iot-release- android-o-preview- android-m-preview- afw-test-harness- android-n-iot-release-smart-display-r android-t-preview- android-r-beta- android-n-iot-release-lg-thinq-wk android-n-iot-release-ihome-igv android-r-preview-,17,1,8,73,90,0 days 00:00:43.500007
2363,ampproject/amphtml,2, test-,1178,519,0,0,1178,0 days 00:00:02.622105
2364,kivy/kivy,1,,13,0,8,13,26,0 days 00:00:00.611411
2365,Eloston/ungoogled-chromium,1,,0,0,0,2,2,0 days 00:00:00.027431
2366,you-dont-need/You-Dont-Need-Lodash-Underscore,1,v,14,1,5,6,20,0 days 00:00:00.028455
2367,Tencent/ncnn,1,,32,9,3,0,32,0 days 00:00:00.234745
2368,pqrs-org/Karabiner-Elements,1,v,28,10,5,0,28,0 days 00:00:00.256620
2369,Tencent/vConsole,2, v,24,9,5,34,58,0 days 00:00:00.048339
2370,magic-wormhole/magic-wormhole,1,,12,1,6,22,34,0 days 00:00:00.088786
2371,iovisor/bcc,1,v,24,1,6,9,33,0 days 00:00:00.181362
2372,plotly/plotly.js,1,v,72,54,3,133,205,0 days 00:00:01.177274
2373,browsh-org/browsh,1,v,5,2,1,45,50,0 days 00:00:00.027379
2374,framer/motion,1,v,60,27,3,243,303,0 days 00:00:00.321171
2375,Tencent/MMKV,1,v,2,0,1,29,31,0 days 00:00:00.069612
2376,facebook/prophet,2, v,8,0,7,2,10,0 days 00:00:00.039965
2377,hashcat/hashcat,1,v,17,3,9,8,25,0 days 00:00:00.319812
2378,go-redis/redis,4,extra/redisotel/v extra/rediscensus/v extra/rediscmd/v v,53,11,7,191,244,0 days 00:00:00.176761
2379,antonmedv/fx,1,,27,6,1,34,61,0 days 00:00:00.034396
2380,frappe/charts,2, v,5,1,1,13,18,0 days 00:00:00.025236
2381,node-red/node-red,2, v,26,3,18,99,125,0 days 00:00:00.501914
2382,facebookarchive/prepack,2, v,0,0,0,47,47,0 days 00:00:00.084889
2383,mkdocs/mkdocs,1,,20,6,9,27,47,0 days 00:00:00.106367
2384,joke2k/faker,1,v,95,3,3,138,233,0 days 00:00:00.236232
2385,chrislusf/seaweedfs,2, v,218,155,2,0,218,0 days 00:00:00.495979
2386,hdodenhof/CircleImageView,1,v,9,1,5,6,15,0 days 00:00:00.015482
2387,InstaPy/InstaPy,2, v,6,2,1,37,43,0 days 00:00:00.231130
2388,doocs/leetcode,1,v,1,0,0,18,19,0 days 00:00:00.277882
2389,cayleygraph/cayley,1,v,5,0,3,10,15,0 days 00:00:00.062339
2390,checkly/headless-recorder,1,v,8,3,2,10,18,0 days 00:00:00.021444
2391,erusev/parsedown,2, v,17,3,4,51,68,0 days 00:00:00.041648
2392,krisk/Fuse,2, v,25,7,5,50,75,0 days 00:00:00.046518
2393,fmtlib/fmt,2, v,23,2,13,16,39,0 days 00:00:00.398821
2394,localtunnel/localtunnel,1,v,13,0,1,20,33,0 days 00:00:00.018471
2395,greensock/GSAP,1,,26,0,0,72,98,0 days 00:00:00.039869
2396,sweetalert2/sweetalert2,1,v,129,25,1,544,673,0 days 00:00:00.801381
2397,jarun/nnn,1,v,34,10,4,2,36,0 days 00:00:00.251291
2398,esp8266/Arduino,1,,9,0,6,13,22,0 days 00:00:00.182899
2399,aframevr/aframe,1,v,13,0,9,14,27,0 days 00:00:00.250403
2400,barryvdh/laravel-debugbar,2,V v,24,5,6,99,123,0 days 00:00:00.105368
2401,iBotPeaches/Apktool,1,v,12,2,8,23,35,0 days 00:00:00.120234
2402,browserify/browserify,2, v,149,16,2,264,413,0 days 00:00:00.320205
2403,google/filament,1,v,23,13,5,70,93,0 days 00:00:00.249538
2404,micropython/micropython,1,v,19,4,10,31,50,0 days 00:00:00.763243
2405,Kr328/ClashForAndroid,2, v,18,8,1,94,112,0 days 00:00:00.080745
2406,darkreader/darkreader,1,v,1,0,0,46,47,0 days 00:00:00.256262
2407,feathersjs/feathers,25, @feathersjs/cli@ @feathersjs/feathers@ @feathersjs/adapter-commons@ @feathersjs/express@ @feathersjs/authentication-oauth2@ @feathersjs/authentication-client@ @feathersjs/adapter-tests@ @feathersjs/socketio@ @feathersjs/primus@ @feathersjs/primus-client@ @feathersjs/commons@ @feathersjs/authentication-local@ generator-feathers-plugin@ @feathersjs/authentication-oauth1@ @feathersjs/configuration@ @feathersjs/client@ @feathersjs/rest-client@ @feathersjs/authentication-jwt@ @feathersjs/transport-commons@ generator-feathers@ @feathersjs/errors@ @feathersjs/authentication@ v @feathersjs/socketio-client@,22,1,7,211,233,0 days 00:00:00.215176
2408,dogecoin/dogecoin,2, v,17,3,10,64,81,0 days 00:00:00.897280
2409,be5invis/Iosevka,1,v,59,28,6,163,222,0 days 00:00:00.206306
2410,sass/sass,17,proposal.identifier-escapes.draft- proposal.slash-separator.draft- proposal.content-args.draft- proposal.more-math-functions.draft- proposal.color-4-rgb-hsl.draft- proposal.css-imports.draft- proposal.media-ranges.draft- proposal.supports-general.draft- proposal.new-js-importer.draft- proposal.import-configuration.draft- proposal.new-functions-and-values-api.draft- proposal.logger.draft- proposal.min-max.draft- proposal.module-system.draft- proposal.nested-map-functions.draft- proposal.at-rule-interpolation.draft- proposal.forward-with.draft-,15,1,2,26,41,0 days 00:00:00.028003
2411,AvaloniaUI/Avalonia,2, nuget-release-,7,0,6,32,39,0 days 00:00:00.898469
2412,kubernetes/kops,2, v,20,0,12,63,83,0 days 00:00:01.242678
2413,FormidableLabs/webpack-dashboard,2, v,12,1,2,31,43,0 days 00:00:00.029081
2414,infinitered/ignite,2, v,52,14,2,94,146,0 days 00:00:00.137513
2415,vitessio/vitess,2,vitess-parent- v,20,0,10,39,59,0 days 00:00:01.860623
2416,RasaHQ/rasa,1,,33,15,7,233,266,0 days 00:00:01.647127
2417,rsms/inter,2,display-beta- v,38,18,4,3,41,0 days 00:00:00.082223
2418,microsoft/LightGBM,1,v,9,1,6,19,28,0 days 00:00:00.129737
2419,alibaba/ARouter,1,,4,0,2,16,20,0 days 00:00:00.020935
2420,bootstrap-vue/bootstrap-vue,2, v,47,32,2,66,113,0 days 00:00:00.427969
2421,medcl/elasticsearch-analysis-ik,1,v,42,1,1,130,172,0 days 00:00:00.064883
2422,yiisoft/yii2,1,,1,0,0,61,62,0 days 00:00:00.996781
2423,janpaepke/ScrollMagic,1,v,5,1,2,21,26,0 days 00:00:00.033975
2424,CopyTranslator/CopyTranslator,2, v,6,0,3,14,20,0 days 00:00:00.050259
2425,uNetworking/uWebSockets,1,v,66,13,4,26,92,0 days 00:00:00.093497
2426,marcuswestin/store.js,1,v,4,0,2,31,35,0 days 00:00:00.026555
2427,gpujs/gpu.js,1,,21,4,2,55,76,0 days 00:00:00.076549
2428,google/libphonenumber,2,libphonenumber- v,20,7,1,149,169,0 days 00:00:00.302896
2429,hapijs/hapi,2, v,129,66,6,194,323,0 days 00:00:00.476668
2430,koel/koel,1,v,18,6,6,38,56,0 days 00:00:00.098580
2431,containers/podman,1,v,21,5,4,95,116,0 days 00:00:01.196995
2432,docker-slim/docker-slim,1,,38,3,9,17,55,0 days 00:00:00.046463
2433,material-components/material-components-android,1,,7,0,6,1,8,0 days 00:00:00.195081
2434,wangeditor-team/wangEditor,12,@wangeditor/basic-modules@ @wangeditor/upload-image-module@ @wangeditor/video-module@ @wangeditor/core@ @wangeditor/editor-for-vue@ @wangeditor/editor-cattle@ @wangeditor/table-module@ @wangeditor/code-highlight@ @wangeditor/editor@ v @wangeditor/editor-for-react@ @wangeditor/list-module@,91,5,3,458,549,0 days 00:00:00.478363
2435,Qv2ray/Qv2ray,1,v,15,9,1,32,47,0 days 00:00:00.364723
2436,Tencent/QMUI_Android,1,,4,0,3,20,24,0 days 00:00:00.077222
2437,wting/autojump,1,release-v,31,2,5,22,53,0 days 00:00:00.193092
2438,thomaspark/bootswatch,1,v,15,0,13,34,49,0 days 00:00:00.167766
2439,graphql/graphiql,22,monaco-graphql@ codemirror-graphql@ @graphiql/react@  example-graphiql-webpack@ example-graphiql-cdn@ graphiql-example-webpack@ example-graphiql-create-react-app@ graphiql-example-cdn@ graphiql@ graphql-language-service-server@ graphql-language-service-interface@ graphql-language-service-utils@ graphiql-parcel-example@ example-monaco-graphql-webpack@ graphql-language-service@ graphiql-2-rfc-context@ graphql-language-service-parser@ graphql-language-service-cli@ graphql-language-service-types@ @graphiql/toolkit@ v,44,3,3,473,517,0 days 00:00:00.462165
2440,commitizen/cz-cli,2, v,16,0,2,58,74,0 days 00:00:00.044735
2441,kamranahmedse/driver.js,2, v,8,0,1,27,35,0 days 00:00:00.030806
2442,foreversd/forever,2, v,17,1,8,51,68,0 days 00:00:00.049978
2443,infinitered/reactotron,1,v,46,22,3,40,86,0 days 00:00:00.092854
2444,markdown-it/markdown-it,1,,29,5,5,47,76,0 days 00:00:00.060133
2445,hashicorp/packer,2, v,21,5,15,82,103,0 days 00:00:01.048192
2446,xbmc/xbmc,11,Eden_rc Gotham_rc Dharma_beta Frodo_rc Frodo_beta Gotham-beta Gotham_beta Frodo_alpha Eden_beta Gotham_alpha Dharma_rc,12,8,2,29,41,0 days 00:00:01.516809
2447,vuejs/vue,2, v,15,4,7,145,160,0 days 00:00:00.273274
2448,hyperledger/fabric,2,baseimage-v v,10,0,8,34,44,0 days 00:00:00.926596
2449,ipfs/go-ipfs,2,floodsub- v,12,0,5,40,52,0 days 00:00:00.732232
2450,facebook/react,2, v,36,7,14,58,94,0 days 00:00:00.850795
2451,airbnb/javascript,2,eslint-config-airbnb-base-v eslint-config-airbnb-v,39,10,4,62,101,0 days 00:00:00.112946
2452,prestodb/presto,1,,272,237,0,51,323,0 days 00:00:01.308489
2453,twbs/bootstrap,1,v,23,3,15,36,59,0 days 00:00:01.067275
2454,facebook/react-native,2, v,67,51,8,144,211,0 days 00:00:01.463415
2455,d3/d3,1,v,91,26,7,197,288,0 days 00:00:00.504995
2456,ytdl-org/youtube-dl,1,,0,0,0,1113,1113,0 days 00:00:02.919311
2457,facebook/create-react-app,13,cra-template-typescript@ react-error-overlay@ react-app-polyfill@ babel-plugin-named-asset-import@ react-dev-utils@ confusing-browser-globals@ eslint-config-react-app@ cra-template@ react-scripts@ timer-react-scripts@ babel-preset-react-app@ v create-react-app@,40,3,1,370,410,0 days 00:00:00.599902
2458,axios/axios,2, v,27,8,8,30,57,0 days 00:00:00.076094
2459,microsoft/vscode,7, bad translation/ vsda-v master-with-conflict- v release/,92,73,2,118,210,0 days 00:00:05.157248
2460,golang/go,7,release.r weekly.2010-10- go weekly.2011-02- weekly.2010-12- weekly.2009-11- weekly.2011-03-,35,4,18,152,187,0 days 00:00:03.394861
2461,vercel/next.js,2, v,33,8,7,122,155,0 days 00:00:00.929513
2462,tensorflow/tensorflow,3, tflite-v v,33,7,11,53,86,0 days 00:00:07.506184
2463,microsoft/terminal,2, v,3,0,2,91,94,0 days 00:00:00.463234
2464,electron/electron,1,v,113,60,16,595,708,0 days 00:00:07.031996
2465,mrdoob/three.js,1,r,132,97,5,0,132,0 days 00:00:02.420774
2466,angular/angular,4, ngcontainer_ v zone.js-,42,16,11,257,299,0 days 00:00:02.092681
2467,nodejs/node,2,heads/tags/v v,254,191,25,449,703,0 days 00:00:04.994213
2468,microsoft/TypeScript,1,v,12,2,2,120,132,0 days 00:00:02.332963
2469,puppeteer/puppeteer,1,v,61,43,1,33,94,0 days 00:00:00.148467
2470,iluwatar/java-design-patterns,1,,19,3,13,0,19,0 days 00:00:00.227192
2471,microsoft/PowerToys,2, v,28,17,3,31,59,0 days 00:00:00.396664
2472,ant-design/ant-design,1,,79,64,4,329,408,0 days 00:00:01.343100
2473,nvbn/thefuck,1,,79,33,7,4,83,0 days 00:00:00.069765
2474,tensorflow/models,2,v. v,19,3,9,6,25,0 days 00:00:00.733005
2475,mui/material-ui,6, olivier-material-ui-icons@ olivier-material-ui-lab@ olivier-material-ui-codemod@ v olivier-eslint-plugin-material-ui@,57,39,10,177,234,0 days 00:00:01.449973
2476,FortAwesome/Font-Awesome,2, v,30,1,11,40,70,0 days 00:00:00.068927
2477,Genymobile/scrcpy,1,v,25,9,5,2,27,0 days 00:00:00.094855
2478,laravel/laravel,1,v,40,6,15,134,174,0 days 00:00:00.371060
2479,kubernetes/kubernetes,1,v,45,20,19,329,374,0 days 00:00:07.508168
2480,huggingface/transformers,2, v,46,41,1,49,95,0 days 00:00:00.614553
2481,bitcoin/bitcoin,1,v,25,0,20,82,107,0 days 00:00:02.261125
2482,opencv/opencv,1,,14,0,13,64,78,0 days 00:00:01.707125
2483,typicode/json-server,2, v,17,2,6,106,123,0 days 00:00:00.077991
2484,django/django,1,,19,0,15,248,267,0 days 00:00:02.595912
2485,storybookjs/storybook,1,v,107,16,13,323,430,0 days 00:00:02.938590
2486,hakimel/reveal.js,1,,27,2,19,11,38,0 days 00:00:00.141572
2487,moby/moby,5,upstream/  autorun/ builder/ v,30,9,9,114,144,0 days 00:00:03.276574
2488,webpack/webpack,1,v,152,121,5,224,376,0 days 00:00:01.296339
2489,gin-gonic/gin,1,v,13,3,8,13,26,0 days 00:00:00.081416
2490,spring-projects/spring-boot,1,v,4,0,3,35,39,0 days 00:00:01.967566
2491,angular/angular.js,1,v,11,0,9,136,147,0 days 00:00:00.742730
2492,gohugoio/hugo,1,v,93,72,10,101,194,0 days 00:00:00.550130
2493,netdata/netdata,4, issue_ poc v,40,13,11,19,59,0 days 00:00:00.958075
2494,pallets/flask,1,,16,5,10,25,41,0 days 00:00:00.227915
2495,reduxjs/redux,1,v,26,11,5,42,68,0 days 00:00:00.163454
2496,sveltejs/svelte,1,v,134,87,2,244,378,0 days 00:00:00.438466
2497,tailwindlabs/tailwindcss,1,v,21,9,8,127,148,0 days 00:00:00.445005
2498,expressjs/express,1,,61,31,11,185,246,0 days 00:00:00.443878
2499,chartjs/Chart.js,2, v,21,7,10,31,52,0 days 00:00:00.224854
2500,fatedier/frp,1,v,42,16,11,30,72,0 days 00:00:00.058616
2501,jquery/jquery,1,,23,0,21,63,86,0 days 00:00:00.396994
2502,socketio/socket.io,1,,30,2,12,118,148,0 days 00:00:00.127455
2503,521xueweihan/HelloGitHub,1,vol.,19,2,1,0,19,0 days 00:00:00.017342
2504,adam-p/markdown-here,1,v,15,6,6,34,49,0 days 00:00:00.043724
2505,keras-team/keras,2, v,15,0,11,40,55,0 days 00:00:00.371779
2506,apple/swift,6,tranch smokes tranche ran- release- ran,9,1,2,2,11,0 days 00:00:03.917217
2507,atom/atom,2, v,271,217,2,104,375,0 days 00:00:02.333079
2508,protocolbuffers/protobuf,1,v,29,3,13,46,75,0 days 00:00:00.469081
2509,shadowsocks/shadowsocks-windows,1,,13,3,7,49,62,0 days 00:00:00.084605
2510,coder/code-server,2, v,20,9,4,22,42,0 days 00:00:00.227376
2511,redis/redis,3, v twitter-,14,1,11,157,171,0 days 00:00:00.827599
2512,lodash/lodash,1,,48,35,3,59,107,0 days 00:00:00.589134
2513,pytorch/pytorch,17,ciflow/binaries_conda/ ciflow/none/ ciflow/slow-gradcheck/ ciflow/slow/ ciflow/trunk/ ciflow/macos/ ciflow/periodic/ ciflow/linux/ ciflow/cpu/ ciflow/nightly/ ciflow/libtorch/ ciflow/all/ ciflow/cuda/ ciflow/binaries/ ci/binaries/ v ciflow/android/,119,59,14,49,168,0 days 00:00:03.400186
2514,h5bp/html5-boilerplate,2, v,19,2,12,10,29,0 days 00:00:00.112020
2515,elastic/elasticsearch,1,v,67,22,15,231,298,0 days 00:00:06.592067
2516,apache/echarts,1,,29,5,14,64,93,0 days 00:00:00.717150
2517,godotengine/godot,0,,0,0,0,0,0,0 days 00:00:00.008595
2518,scikit-learn/scikit-learn,2, sprint,26,0,19,30,56,0 days 00:00:01.821783
2519,azl397985856/leetcode,2, v,35,15,3,5,40,0 days 00:00:00.073447
2520,home-assistant/core,1,,129,126,0,397,526,0 days 00:00:03.460880
2521,ansible/ansible,2, v,26,4,13,174,200,0 days 00:00:03.920892
2522,mermaid-js/mermaid,3, real- v,21,7,8,76,97,0 days 00:00:00.288828
2523,psf/requests,2, v,43,11,22,101,144,0 days 00:00:00.400594
2524,grafana/grafana,2, v,46,7,9,181,227,0 days 00:00:02.489324
2525,spring-projects/spring-framework,1,v,1,0,0,20,21,0 days 00:00:01.197107
2526,nestjs/nest,2, v,33,18,5,167,200,0 days 00:00:00.924565
2527,moment/moment,1,,40,14,12,46,86,0 days 00:00:00.318702
2528,remix-run/react-router,1,v,39,17,10,76,115,0 days 00:00:00.445087
2529,ionic-team/ionic-framework,2, v,43,26,10,140,183,0 days 00:00:01.282837
2530,tiangolo/fastapi,2, v,77,36,3,52,129,0 days 00:00:00.120919
2531,ReactiveX/RxJava,3, rxjava- v,25,10,3,183,208,0 days 00:00:00.329108
2532,tesseract-ocr/tesseract,1,,15,0,10,8,23,0 days 00:00:00.322137
2533,apache/superset,4, airbnb_prod. superset-helm-chart- v,82,37,8,191,273,0 days 00:00:00.921700
2534,syncthing/syncthing,2,phabricator/diff/ v,36,15,10,240,276,0 days 00:00:00.612164
2535,google/guava,3,failureaccess-v jdk5-backport-v v,44,8,19,15,59,0 days 00:00:00.405801
2536,junegunn/fzf,1,,27,8,13,76,103,0 days 00:00:00.124435
2537,strapi/strapi,1,v,16,7,2,79,95,0 days 00:00:01.089605
2538,3b1b/manim,2, v,8,1,1,10,18,0 days 00:00:00.315634
2539,soimort/you-get,1,v,3,1,1,143,146,0 days 00:00:00.268131
2540,scrapy/scrapy,1,,32,1,17,58,90,0 days 00:00:00.539802
2541,prettier/prettier,2, v,39,19,8,71,110,0 days 00:00:00.438071
2542,serverless/serverless,3,v. beta v,181,150,3,175,356,0 days 00:00:01.067816
2543,juliangarnier/anime,2, v,8,2,5,6,14,0 days 00:00:00.039829
2544,prometheus/prometheus,2, v,67,32,5,79,146,0 days 00:00:00.560134
2545,vitejs/vite,8,plugin-react-refresh@ create-app@ plugin-legacy@ plugin-vue-jsx@ create-vite@ plugin-vue@ plugin-react@ v,21,3,2,261,282,0 days 00:00:00.306366
2546,square/okhttp,2, parent-,39,11,12,56,95,0 days 00:00:00.390704
2547,meteor/meteor,59,release/sso- release/node-no-fsevents- release/fix-issue- test release/ANUBHAV-ERROR-APP-TEST@ release/proxy-minimum-tags- release/nim-pull-requests-test- temp release/selftest-built- release/TEMPLATE-CURRENT-DATA@ release/blaze-test-rc release/emily-test-old release/SLAVA-TEST@ release/PLUGINS-PREVIEW@ release/OPLOG-BACKLOG@ release/METEOR@refreshpolicy-test. release/template-engine-preview-release- release/redis-wip- release/METEOR@new-version-solver- release/ANUBHAV-TEST@ release/fix- release/rendering-preview- release/METEOR@ release/invalidation-key-v release/linker-pre release/mongo-new-devbundle- release/GLASSER-TEST@ release/blaze-rc release/test-fix- release/bundler-profile- release/METEOR@cordova- release/galaxy-zdt- release/oplog-limits-preview- release/galaxy-appconfig- release/CORDOVA-PREVIEW@ release/GLASSER-TEST@maybe-rc release/GITHUBBLE@ release-fixed/CORDOVA-PREVIEW@ release/galaxy- mother-dev-bundle-node- release/ release/oplog-alpha release/blaze-refactor-rc release/oplog-limits-preview-blaze- release/test-slow-tests- release/galaxy-follower- release/download-test- ejson@ accounts-password@ release/METEOR@CORDOVA- release/WINDOWS-PREVIEW@ v release/galaxy-sso- release/EACH-IN@ release/TMEASDAY-RELEASE-TESTING@ release/template-engine-preview- note release/test-fooz release/oplog-preview-,68,14,21,328,396,0 days 00:00:02.031099
2548,localstack/localstack,2,localstack- v,8,0,4,41,49,0 days 00:00:00.171824
2549,ColorlibHQ/AdminLTE,2, v,13,2,5,47,60,0 days 00:00:00.159723
2550,babel/babel,1,v,90,55,8,606,696,0 days 00:00:01.568886
2551,parcel-bundler/parcel,11,@parcel/test-utils@ @parcel/integration-tests@ parcel-bundler@ @parcel/fs@ @parcel/logger@ @parcel/babel-register@ @parcel/watcher@ @parcel/utils@ v @react-spectrum/actiongroup@ @parcel/workers@,19,11,4,52,71,0 days 00:00:00.202758
2552,caddyserver/caddy,1,v,14,2,10,49,63,0 days 00:00:00.354998
2553,yarnpkg/yarn,2, v,50,35,1,114,164,0 days 00:00:00.173460
2554,nuxt/nuxt.js,1,v,30,12,7,112,142,0 days 00:00:00.363961
2555,python/cpython,2, v,24,0,21,171,195,0 days 00:00:06.809573
2556,git/git,2,gitgui- v,89,22,30,438,527,0 days 00:00:04.160943
2557,TryGhost/Ghost,2, v,170,125,6,318,488,0 days 00:00:01.168817
2558,square/retrofit,2, parent-,25,1,11,19,44,0 days 00:00:00.106026
2559,gogs/gogs,1,v,11,4,6,51,62,0 days 00:00:00.714781
2560,danielmiessler/SecLists,1,,16,0,10,1,17,0 days 00:00:00.071250
2561,facebook/jest,2, v,68,38,10,143,211,0 days 00:00:00.380748
2562,v2ray/v2ray-core,1,v,168,95,3,182,350,0 days 00:00:00.591027
2563,etcd-io/etcd,11, tests/v etcdutl/v etcdctl/v client/v pkg/v client/pkg/v raft/v v server/v api/v,16,0,11,207,223,0 days 00:00:01.272832
2564,iamkun/dayjs,1,v,11,3,4,99,110,0 days 00:00:00.419321
2565,nwjs/nw.js,2,nw-v v,60,19,11,207,267,0 days 00:00:00.323079
2566,Dogfalo/materialize,2, v,17,9,3,20,37,0 days 00:00:00.177694
2567,vercel/hyper,2, v,18,9,6,43,61,0 days 00:00:00.169607
2568,ocornut/imgui,1,v,72,41,5,2,74,0 days 00:00:00.415901
2569,mozilla/pdf.js,3, milestone- v,2,0,0,57,59,0 days 00:00:01.112157
2570,x64dbg/x64dbg,0,,0,0,0,0,0,0 days 00:00:00.009229
2571,cypress-io/cypress,13,create-cypress-tests-v @cypress/schematic-v @cypress/mount-utils-v @cypress/vite-dev-server-v @cypress/eslint-plugin-dev-v @cypress/react-v @cypress/webpack-preprocessor-v v @cypress/rollup-dev-server-v @cypress/webpack-batteries-included-preprocessor-v @cypress/webpack-dev-server-v @cypress/vue-v @cypress/design-system-v,99,58,6,351,450,0 days 00:00:01.231543
2572,obsproject/obs-studio,1,,30,1,13,89,119,0 days 00:00:00.628654
2573,microsoft/playwright,1,v,32,26,0,37,69,0 days 00:00:00.630145
2574,Textualize/rich,3, v. v,66,56,0,73,139,0 days 00:00:00.195667
2575,traefik/traefik,1,v,16,0,14,128,144,0 days 00:00:00.326188
2576,impress/impress.js,1,,8,4,3,4,12,0 days 00:00:00.018965
2577,styled-components/styled-components,4, styled-components@ sandbox@ v,28,11,6,106,134,0 days 00:00:00.144004
2578,apache/dubbo,2, dubbo-,8,2,3,83,91,0 days 00:00:00.517606
2579,dcloudio/uni-app,2, v,8,1,1,8,16,0 days 00:00:00.478019
2580,FiloSottile/mkcert,1,v,6,2,2,8,14,0 days 00:00:00.014298
2581,ethereum/go-ethereum,5, buildbot-testing-tag- poc v PoC,14,0,11,169,183,0 days 00:00:00.770416
2582,ventoy/Ventoy,1,v,0,0,0,69,69,0 days 00:00:00.044878
2583,PhilJay/MPAndroidChart,1,v,8,2,4,33,41,0 days 00:00:00.084559
2584,commaai/openpilot,1,v,8,0,4,62,70,0 days 00:00:00.055051
2585,pixijs/pixijs,3, project_v v,27,4,14,109,136,0 days 00:00:00.349085
2586,hexojs/hexo,1,,38,13,11,101,139,0 days 00:00:00.172480
2587,Leaflet/Leaflet,1,v,16,1,13,27,43,0 days 00:00:00.410172
2588,vuetifyjs/vuetify,1,v,23,6,8,284,307,0 days 00:00:00.734833
2589,pandas-dev/pandas,2, v,28,1,22,56,84,0 days 00:00:01.416443
2590,PowerShell/PowerShell,2,SD/ v,24,15,6,40,64,0 days 00:00:00.570345
2591,supabase/supabase,2, v,0,0,0,20,20,0 days 00:00:00.371078
2592,alvarotrigo/fullPage.js,3, v. v,7,0,3,76,83,0 days 00:00:00.093321
2593,facebook/docusaurus,1,v,14,7,1,37,51,0 days 00:00:00.159646
2594,minio/minio,1,release-,1,0,0,0,1,0 days 00:00:00.098790
2595,grpc/grpc,4,release-  objective-c-v v,55,19,3,109,164,0 days 00:00:03.063105
2596,sahat/hackathon-starter,1,,8,2,4,6,14,0 days 00:00:00.355712
2597,videojs/video.js,2, v,70,26,13,220,290,0 days 00:00:00.379528
2598,shadowsocks/shadowsocks,1,,4,1,2,14,18,0 days 00:00:00.042506
2599,Eugeny/tabby,1,v,0,0,0,116,116,0 days 00:00:00.261706
2600,NationalSecurityAgency/ghidra,0,,0,0,0,0,0,0 days 00:00:00.008163
2601,rclone/rclone,1,v,69,15,10,21,90,0 days 00:00:00.317254
2602,airbnb/lottie-android,2,v. v,21,5,8,42,63,0 days 00:00:00.184361
2603,quilljs/quill,1,v,23,11,5,99,122,0 days 00:00:00.391816
2604,lerna/lerna,1,v,39,16,6,70,109,0 days 00:00:00.161327
2605,d2l-ai/d2l-zh,1,v,9,4,3,0,9,0 days 00:00:00.146374
2606,koajs/koa,1,,43,9,9,44,87,0 days 00:00:00.085841
2607,BVLC/caffe,3, rc v,10,2,5,0,10,0 days 00:00:00.321973
2608,bumptech/glide,1,v,21,6,11,15,36,0 days 00:00:00.140909
2609,shadowsocks/shadowsocks-android,1,v,24,4,8,156,180,0 days 00:00:00.224648
2610,gulpjs/gulp,2, v,6,2,3,13,19,0 days 00:00:00.065511
2611,hashicorp/terraform,2, v,18,2,12,158,176,0 days 00:00:01.560350
2612,zenorocha/clipboard.js,1,v,9,1,0,33,42,0 days 00:00:00.181664
2613,marktext/marktext,1,v,7,0,4,20,27,0 days 00:00:00.072664
2614,ant-design/ant-design-pro,2, v,18,4,6,12,30,0 days 00:00:00.098034
2615,wg/wrk,1,,10,0,1,11,21,0 days 00:00:00.012587
2616,wagoodman/dive,1,v,10,1,2,15,25,0 days 00:00:00.028238
2617,immutable-js/immutable-js,2, v,16,8,3,39,55,0 days 00:00:00.081135
2618,evanw/esbuild,1,v,12,4,1,284,296,0 days 00:00:00.218320
2619,RocketChat/Rocket.Chat,1,,103,93,1,245,348,0 days 00:00:01.621803
2620,photonstorm/phaser,2, v,39,20,10,59,98,0 days 00:00:00.853039
2621,agalwood/Motrix,1,v,2,0,1,22,24,0 days 00:00:00.060609
2622,preactjs/preact,4, server- server-v v,60,18,7,162,222,0 days 00:00:00.289499
2623,google/zx,1,,23,6,0,19,42,0 days 00:00:00.022542
2624,php/php-src,12,MODERN_SYMMETRIC_SESSION_BEHAVIOUR_ SQLITE_ php- BEFORE_IMPORT_OF_MYSQLND_IN_ BEFORE_SAPIFICATION_FEB_ ZEND_OPTIMIZER_B RELEASE_ php yaf- oci8- ZO_B BEFORE_REMOVING_GC_STEP,41,4,28,434,475,0 days 00:00:06.767140
2625,XX-net/XX-Net,1,,51,17,3,285,336,0 days 00:00:00.345770
2626,nolimits4web/swiper,1,v,49,7,12,139,188,0 days 00:00:00.174173
2627,NervJS/taro,1,v,12,2,5,272,284,0 days 00:00:00.571753
2628,Blankj/AndroidUtilCode,1,,27,7,7,89,116,0 days 00:00:00.071758
2629,nativefier/nativefier,2, v,56,19,5,90,146,0 days 00:00:00.087061
